M	10	20	30	40	50	60	70	80	90	100
20	0.866337119									
30	0.801684938	0.963616182								
40	0.757919264	0.935558805	0.983723271							
50	0.732940842	0.916643185	0.97134069	0.992019355						
60	0.714484624	0.902616693	0.96261842	0.986682628	0.995525366					
70	0.702629516	0.891801745	0.95481396	0.981219589	0.991761949	0.996943671				
80	0.694352972	0.883482416	0.948754557	0.976898036	0.988663897	0.994527735	0.997692646			
90	0.686774597	0.877020117	0.943473959	0.972770032	0.985410349	0.992045216	0.995860907	0.998168794		
100	0.680729481	0.871414722	0.938848702	0.969258425	0.98262985	0.98986471	0.994111911	0.996654363	0.9987188	
5000	0.644358312	0.837172806	0.909531956	0.944746962	0.962079458	0.972199696	0.978928983	0.983328571	0.987371162	0.989917604
